Episode,Character,Dementia,Entropy,Redundance
01,MULDER,0.5053353658536586, 0.9859771023277484, 1.0769916300984572
02,MULDER,0.5574136008918618, 0.9994341605424035, 1.0764242741455154
03,MULDER,0.5076775431861804, 0.9214144590559837, 1.061453213332917
04,MULDER,0.5130801687763713, 0.9405577739212252, 1.0581705850343626
05,MULDER,0.5595116988809766, 0.9696122376515457, 1.0753776266051092
06,MULDER,0.5320139697322468, 0.9620002149364565, 1.065591803569512
07,MULDER,0.4789915966386555, 0.9598082664554255, 1.0713871417878176
08,MULDER,0.510989010989011, 0.990424111940043, 1.0709281738884273
09,MULDER,0.6377049180327868, 0.9344528289722488, 1.080541452880966
10,MULDER,0.564729867482161, 0.993044463366121, 1.0861031015388738
11,MULDER,0.5548628428927681, 0.9309348540326663, 1.0507988763280736
12,MULDER,0.5679611650485437, 0.9561777976742875, 1.0978883834752249
13,MULDER,0.549346016646849, 0.9813830967430225, 1.0270685285510353
14,MULDER,0.5689084895259096, 0.9883344220065106, 1.0591470100462506
15,MULDER,0.5150709219858156, 0.969608444221396, 1.0804564901345906
16,MULDER,0.5655737704918032, 1.0317943909632508, 1.0493372419903555
17,MULDER,0.508421052631579, 0.9452778955827991, 1.0458028006690459
18,MULDER,0.5815899581589958, 0.9799402835686213, 1.065620629827048
19,MULDER,0.5180722891566265, 0.9770913832393604, 1.0449751569270909
20,MULDER,0.5919689119170984, 1.0046066204732669, 1.0419539360426089
21,MULDER,0.5558882235528942, 1.0624546757251623, 1.0886255561531533
22,MULDER,0.5430210325047801, 1.0236978316407657, 1.0803673812522834
23,MULDER,0.5285880980163361, 0.9510291405303761, 1.0578205819106967
01,SCULLY,0.574468085106383, 0.9798522608031758, 1.0649359574303088
02,SCULLY,0.6057441253263708, 1.0003656098612193, 1.0781204228695658
03,SCULLY,0.5804597701149425, 0.9736181247624751, 1.0659249710918663
04,SCULLY,0.5439900867410161, 0.9420655522339456, 1.0623569635812833
05,SCULLY,0.6137404580152672, 1.0161151486145148, 1.0768244895360604
06,SCULLY,0.6126629422718808, 0.9685261323097877, 1.094981985091542
07,SCULLY,0.49249779346866723, 0.9676541582778491, 1.0789708784725114
08,SCULLY,0.6407563025210085, 0.9586591765354763, 1.1072121455300028
09,SCULLY,0.7508532423208191, 0.9602228895919291, 1.1106852884806822
10,SCULLY,0.5857605177993528, 1.020835368304753, 1.1084236019218758
11,SCULLY,0.6368159203980099, 1.0796269609129163, 1.0757291994799785
12,SCULLY,0.5959367945823928, 0.8959198980613066, 1.0463378658127618
13,SCULLY,0.5714285714285714, 0.9643885063463589, 1.0364706401514738
14,SCULLY,0.5647969052224371, 0.9722091853792098, 1.0885759207767591
15,SCULLY,0.5696022727272727, 1.0388869553816134, 1.0720798872757389
16,SCULLY,0.6077057793345009, 1.0487947804826525, 1.0595091368296878
17,SCULLY,0.5443974630021141, 1.0383721430708786, 1.044495753106928
18,SCULLY,0.5582137161084529, 0.9995982615158198, 1.0626071214046262
19,SCULLY,0.5550595238095238, 0.9320484957773842, 1.0265023654826764
20,SCULLY,0.6145648312611013, 1.0723040325442963, 1.070340608601439
21,SCULLY,0.5702280912364946, 1.016835973633473, 1.0495670742154564
22,SCULLY,0.5492341356673961, 0.9876769260168985, 1.054308527614248
23,SCULLY,0.5028248587570622, 0.9518006637896127, 1.074281375225523
