Episode,MULDER,SCULLY
1,0.9859771023277484,0.9798522608031758
2,0.9994341605424035,1.0003656098612193
3,0.9214144590559837,0.9736181247624751
4,0.9405577739212252,0.9420655522339456
5,0.9696122376515457,1.0161151486145148
6,0.9620002149364565,0.9685261323097877
7,0.9598082664554255,0.9676541582778491
8,0.990424111940043,0.9586591765354763
9,0.9344528289722488,0.9602228895919291
10,0.993044463366121,1.020835368304753
11,0.9309348540326663,1.0796269609129163
12,0.9561777976742875,0.8959198980613066
13,0.9813830967430225,0.9643885063463589
14,0.9883344220065106,0.9722091853792098
15,0.969608444221396,1.0388869553816134
16,1.0317943909632508,1.0487947804826525
17,0.9452778955827991,1.0383721430708786
18,0.9799402835686213,0.9995982615158198
19,0.9770913832393604,0.9320484957773842
20,1.0046066204732669,1.0723040325442963
21,1.0624546757251623,1.016835973633473
22,1.0236978316407657,0.9876769260168985
23,0.9510291405303761,0.9518006637896127
