Episode,MULDER,SCULLY
S1E1,46.298701298701296,46.18181818181818
S1E2,52.244680851063826,47.022222222222226
S1E3,40.47761194029851,43.348837209302324
S1E4,43.9645390070922,46.45652173913044
S1E5,39.62406015037594,40.73863636363637
S1E6,35.3,34.03488372093023
S1E7,41.27218934911242,37.53703703703704
S1E8,41.27731092436975,39.61538461538461
S1E9,31.067307692307693,34.212765957446805
S1E10,34.58169934640523,40.98412698412698
S1E11,36.06896551724138,48.66197183098591
S1E12,43.5,44.0
S1E13,42.647619047619045,33.16504854368932
S1E14,41.547008547008545,31.824858757062145
S1E15,36.17964071856287,43.41111111111111
S1E16,44.72592592592593,49.65625
S1E17,37.65151515151515,48.71296296296296
S1E18,42.30769230769231,45.276315789473685
S1E19,39.33793103448276,37.03225806451613
S1E20,47.96551724137931,47.507462686567166
S1E21,48.78632478632478,45.91
S1E22,44.099236641221374,47.36190476190476
S1E23,36.71544715447155,38.13008130081301
S2E1,40.1937984496124,43.254901960784316
S2E2,34.15972222222222,52.340425531914896
S2E3,48.90909090909091,54.82857142857143
S2E4,39.72316384180791,51.333333333333336
S2E5,32.0,43.130434782608695
S2E6,34.76162790697674,10.666666666666666
S2E7,39.92741935483871,0
S2E8,28.867346938775512,27.333333333333332
S2E9,44.108108108108105,47.4031007751938
S2E10,40.333333333333336,48.0
S2E11,39.72941176470588,42.02542372881356
S2E12,47.06711409395973,48.98581560283688
S2E13,43.544444444444444,36.82539682539682
S2E14,39.38297872340426,50.443609022556394
S2E15,36.56687898089172,38.58095238095238
S2E16,43.81294964028777,43.17045454545455
S2E17,24.571428571428573,52.34444444444444
S2E18,45.113207547169814,40.172413793103445
S2E19,39.445945945945944,46.87577639751553
S2E20,0,0
S2E21,51.80769230769231,43.265060240963855
S2E22,37.762962962962966,39.973684210526315
S2E23,39.66867469879518,42.072
S2E24,43.41984732824427,51.700934579439256
S2E25,28.387755102040817,44.357723577235774
S3E1,41.44444444444444,32.78448275862069
S3E2,37.64,38.32786885245902
S3E3,33.525925925925925,40.33576642335766
S3E4,48.64393939393939,46.9080459770115
S3E5,40.53333333333333,34.505050505050505
S3E6,46.34513274336283,36.93333333333333
S3E7,44.826771653543304,39.92
S3E8,35.16,52.15
S3E9,45.12587412587413,34.44827586206897
S3E10,36.71238938053097,37.845238095238095
S3E11,41.65972222222222,37.790419161676645
S3E12,50.097345132743364,45.64462809917355
S3E13,47.170212765957444,49.967213114754095
S3E14,42.8421052631579,35.44776119402985
S3E15,39.294642857142854,47.23863636363637
S3E16,40.18390804597701,36.23
S3E17,37.03947368421053,27.178571428571427
S3E18,37.74045801526717,40.568306010928964
S3E19,36.798561151079134,42.3394495412844
S3E20,56.42857142857143,62.20289855072464
S3E21,34.50515463917526,41.27272727272727
S3E22,50.61666666666667,40.696296296296296
S3E23,39.19396551724138,39.527472527472526
S3E24,43.371428571428574,47.36206896551724
S4E1,30.778846153846153,41.775510204081634
S4E2,40.23728813559322,35.8421052631579
S4E3,48.779411764705884,49.48888888888889
S4E4,45.15,47.130434782608695
S4E5,54.2247191011236,51.26315789473684
S4E6,46.05555555555556,47.708333333333336
S4E7,0,0
S4E8,35.29441624365482,42.74107142857143
S4E9,42.44186046511628,38.0921052631579
S4E10,45.264367816091955,70.63157894736842
S4E11,40.51094890510949,44.68181818181818
S4E12,35.78846153846154,40.213235294117645
S4E13,60.626506024096386,40.54545454545455
S4E14,43.98421052631579,44.132075471698116
S4E15,43.262773722627735,47.351351351351354
S4E16,43.104294478527606,35.41025641025641
S4E17,43.56428571428572,47.822429906542055
S4E18,40.027522935779814,45.49677419354839
S4E19,46.351351351351354,44.85950413223141
S4E20,43.68707482993197,45.58064516129032
S4E21,50.76136363636363,0
S4E22,43.02247191011236,43.03378378378378
S4E23,28.54601226993865,44.61818181818182
S4E24,43.5,45.710743801652896
S5E1,36.625,0
S5E2,55.96666666666667,56.016806722689076
S5E3,40.30635838150289,37.6140350877193
S5E4,32.608695652173914,29.3986013986014
S5E5,6.333333333333333,38.90769230769231
S5E6,42.946666666666665,46.35526315789474
S5E7,37.074829931972786,33.76271186440678
S5E8,32.25748502994012,33.5377358490566
S5E9,46.833333333333336,44.03846153846154
S5E10,32.95180722891566,28.788079470198674
S5E11,31.685714285714287,24.846153846153847
S5E12,41.259433962264154,40.1301775147929
S5E13,53.35294117647059,39.217948717948715
S5E14,48.54081632653061,44.50413223140496
S5E15,41.3,0
S5E16,40.05555555555556,45.40983606557377
S5E17,39.385245901639344,38.94512195121951
S5E18,30.06015037593985,36.0
S5E19,35.04225352112676,36.48837209302326
S5E20,0,0
S6E1,35.06956521739131,40.2093023255814
S6E2,35.253846153846155,40.479674796747965
S6E3,32.389830508474574,27.31496062992126
S6E4,39.75,53.83673469387755
S6E5,28.0,34.31764705882353
S6E6,41.79545454545455,46.975903614457835
S6E7,48.40384615384615,41.77777777777778
S6E8,26.435897435897434,36.24242424242424
S6E9,33.478873239436616,33.53146853146853
S6E10,32.247191011235955,36.21739130434783
S6E11,42.416666666666664,36.729729729729726
S6E12,31.73076923076923,51.377049180327866
S6E13,44.55555555555556,44.24
S6E14,46.15909090909091,37.471698113207545
S6E15,36.5625,24.914285714285715
S6E16,39.56060606060606,40.824742268041234
S6E17,33.308411214953274,42.813559322033896
S6E18,34.19101123595506,45.078947368421055
S6E19,0,26.58139534883721
S6E20,44.07627118644068,38.875
S6E21,44.829268292682926,43.87012987012987
S6E22,35.7125,39.440298507462686
