Episode,MULDER,SCULLY
S1E1,4.050541516245487,4.0
S1E2,4.053459119496855,4.099508599508599
S1E3,3.8194945848375452,3.9972714870395634
S1E4,3.868316041500399,3.8379310344827586
S1E5,4.035922330097088,4.1407837445573294
S1E6,4.043429844097996,4.1172291296625225
S1E7,3.941473988439306,4.0067283431455
S1E8,4.041753653444676,4.150406504065041
S1E9,3.9626168224299065,4.019292604501608
S1E10,4.111328125,4.292099792099792
S1E11,3.747986191024166,4.387658227848101
S1E12,3.923076923076923,3.7494646680942183
S1E13,4.069044879171462,3.9807407407407407
S1E14,4.2576754385964914,4.3042226487524
S1E15,3.9690376569037658,4.2008086253369274
S1E16,4.39009009009009,4.427586206896552
S1E17,3.9313131313131313,4.250253292806485
S1E18,4.072386058981233,4.068965517241379
S1E19,4.1501831501831505,3.9882005899705013
S1E20,4.096654275092937,4.401724137931034
S1E21,4.424446583253128,4.283196239717979
S1E22,4.215919487648673,4.110062893081761
S1E23,3.8369565217391304,3.831932773109244
S2E1,4.488599348534202,4.194647201946472
S2E2,3.7416829745596867,4.39086859688196
S2E3,4.413265306122449,4.56973293768546
S2E4,4.182563338301043,4.801084990958409
S2E5,3.6882998171846437,3.9627118644067796
S2E6,3.9224353628023354,4.166666666666667
S2E8,3.9306049822064058,4.161290322580645
S2E9,4.268852459016394,4.121057118499574
S2E10,4.112268518518518,4.247557003257329
S2E11,4.2895569620253164,4.6678200692041525
S2E12,4.120535714285714,4.345397324940992
S2E13,4.002587322121604,3.7172557172557172
S2E14,4.3201754385964914,4.381342062193126
S2E15,4.230202578268877,4.448228882833788
S2E16,3.92620232172471,3.9206349206349205
S2E17,3.364741641337386,4.133849557522124
S2E18,4.0,4.059080962800875
S2E19,4.057894736842106,4.113793103448276
S2E21,4.16015625,4.070402298850575
S2E22,3.7685009487666035,3.945916114790287
S2E23,3.9938319198149577,4.122650840751731
S2E24,4.221706864564007,4.348336594911937
S2E25,3.73117033603708,3.9574468085106385
S3E1,3.656779661016949,3.7023959646910467
S3E2,3.768733850129199,3.769230769230769
S3E3,4.240046838407494,4.426164519326066
S3E4,4.017543859649122,4.03513174404015
S3E5,4.0420954162768945,3.9503649635036497
S3E6,4.454736842105263,4.397040690505548
S3E7,4.252108716026242,4.103133159268929
S3E8,4.133412042502951,4.245315161839864
S3E9,3.9929133858267716,3.675837320574163
S3E10,3.7539543057996485,3.8653998416468727
S3E11,3.968040370058873,3.834639498432602
S3E12,4.297698945349952,4.329038652130823
S3E13,4.0324825986078885,4.181975736568457
S3E14,4.036833855799373,3.9398099260823654
S3E15,3.8702460850111855,3.8855780691299167
S3E16,3.660377358490566,3.8497970230040597
S3E17,3.973021582733813,3.8403908794788273
S3E18,4.021649484536082,4.148486980999296
S3E19,4.0109235352532275,4.009879253567508
S3E20,4.360552763819095,4.242197253433209
S3E21,3.964767616191904,4.12681436210848
S3E22,4.088210347752333,4.068352059925093
S3E23,3.8904709748083244,3.967651195499297
S3E24,3.6076604554865424,4.093155893536122
S4E1,3.590308370044053,3.912453760789149
S4E2,4.109077598828697,4.20368574199806
S4E3,4.111899133175729,4.237138263665595
S4E4,4.351931330472103,4.430508474576271
S4E5,4.11542730299667,4.28
S4E6,4.386729857819906,4.405978784956606
S4E8,3.8854688618468147,3.8996865203761755
S4E9,3.941336971350614,3.9597902097902096
S4E10,4.145695364238411,4.3522727272727275
S4E11,4.330058939096268,4.2371584699453555
S4E12,3.997275204359673,4.13175355450237
S4E13,4.2320855614973265,3.9583702391496898
S4E14,4.210991787744788,4.3418803418803416
S4E15,3.8989983305509184,3.734061930783242
S4E16,3.9913606911447084,4.011056511056511
S4E17,4.001668056713928,4.02
S4E18,3.9009111617312073,4.132440476190476
S4E19,4.14209726443769,4.069128787878788
S4E20,3.893302180685358,4.120384047267356
S4E22,3.907250163291966,3.9689984101748808
S4E23,3.5308764940239046,4.158510638297872
S4E24,4.061904761904762,4.099624060150376
S5E2,4.045592705167174,4.140282131661442
S5E3,3.772284122562674,3.5509761388286334
S5E4,4.12738301559792,4.039263803680981
S5E5,5.0,3.8797385620915033
S5E6,4.259504132231405,4.369397217928903
S5E7,3.8782924613987286,3.6044600938967135
S5E8,3.817769718948323,4.020172910662824
S5E9,4.257093723129836,4.144318181818182
S5E10,4.284584980237154,4.111377245508982
S5E11,4.193236714975845,3.935267857142857
S5E12,4.015929203539823,4.220717131474103
S5E13,4.165697674418604,3.978114478114478
S5E14,4.154696132596685,3.9247619047619047
S5E16,4.095659163987138,4.172675521821632
S5E17,4.174151150054764,4.081385979049154
S5E18,3.9298245614035086,4.286206896551724
S5E19,4.016376663254862,4.1792294807370185
S6E1,3.8265060240963855,3.953420669577875
S6E2,3.7320675105485233,4.181430096051227
S6E3,3.7060301507537687,3.5450874831763124
S6E4,4.127358490566038,4.140280561122244
S6E5,3.953488372093023,3.7701342281879193
S6E6,3.9470319634703195,4.2111716621253406
S6E7,4.153039832285115,3.9917808219178084
S6E8,3.8588807785888077,3.883426966292135
S6E9,3.7540983606557377,3.804102564102564
S6E10,3.831345826235094,3.788349514563107
S6E11,4.0,3.9391143911439115
S6E12,3.8433014354066986,4.189597315436242
S6E13,3.963317384370016,4.248175182481752
S6E14,3.986172218730358,3.8478396994364434
S6E15,3.4076923076923076,3.622950819672131
S6E16,3.8341143392689783,3.8926767676767677
S6E17,3.984352773826458,4.093525179856115
S6E18,3.896551724137931,3.88646288209607
S6E20,3.8862102217936356,4.023102310231023
S6E21,4.17621776504298,4.168503937007874
S6E22,3.7855917667238423,3.905982905982906
