Episode,MULDER,SCULLY
S3E1,0.785222773137463,0.8780218334056192
S3E2,0.8581285969424464,0.8466919605095045
S3E3,0.850826674721895,0.8209143658032177
S3E4,0.8497204057489891,0.8528485110947936
S3E5,0.874384339454856,0.8635944941504173
S3E6,0.8076287156285071,0.8577207349025849
S3E7,0.8448790285803014,0.8668948360273977
S3E8,0.8750079520843284,0.8326463131862569
S3E9,0.842594119647378,0.8823073962633297
S3E10,0.8751457650261686,0.872714877252684
S3E11,0.8601188505404765,0.8430820220710907
S3E12,0.8332231117609231,0.8751936679676136
S3E13,0.833734626148796,0.8230466672986914
S3E14,0.8588360478443237,0.8857460768552948
S3E15,0.8665045140973691,0.8519985511634127
S3E16,0.847950402322158,0.8600502218777722
S3E17,0.8312211618152275,0.9481865795284817
S3E18,0.8708575323554416,0.8466322869093469
S3E19,0.8728848702986105,0.8495332972643933
S3E20,0.8386129729888252,0.8388634821991366
S3E21,0.8401184193746808,0.8199943923787892
S3E22,0.8324934865895223,0.8432289641025594
S3E23,0.8689465901869934,0.8631126897582475
S3E24,0.8774346135034264,0.8852081448693554
