Episode,MULDER,SCULLY
S3E1,3.656779661016949,3.7023959646910467
S3E2,3.768733850129199,3.769230769230769
S3E3,4.240046838407494,4.426164519326066
S3E4,4.017543859649122,4.03513174404015
S3E5,4.0420954162768945,3.9503649635036497
S3E6,4.454736842105263,4.397040690505548
S3E7,4.252108716026242,4.103133159268929
S3E8,4.133412042502951,4.245315161839864
S3E9,3.9929133858267716,3.675837320574163
S3E10,3.7539543057996485,3.8653998416468727
S3E11,3.968040370058873,3.834639498432602
S3E12,4.297698945349952,4.329038652130823
S3E13,4.0324825986078885,4.181975736568457
S3E14,4.036833855799373,3.9398099260823654
S3E15,3.8702460850111855,3.8855780691299167
S3E16,3.660377358490566,3.8497970230040597
S3E17,3.973021582733813,3.8403908794788273
S3E18,4.021649484536082,4.148486980999296
S3E19,4.0109235352532275,4.009879253567508
S3E20,4.360552763819095,4.242197253433209
S3E21,3.964767616191904,4.12681436210848
S3E22,4.088210347752333,4.068352059925093
S3E23,3.8904709748083244,3.967651195499297
S3E24,3.6076604554865424,4.093155893536122
