Episode,MULDER,SCULLY
S2E1,7.251968503937008,8.058823529411764
S2E2,7.146853146853147,9.868131868131869
S2E3,8.909090909090908,9.628571428571428
S2E4,7.712643678160919,8.777777777777779
S2E5,6.753086419753086,8.55072463768116
S2E6,7.052941176470588,2.0
S2E8,5.854166666666667,5.636363636363637
S2E9,8.299319727891156,9.093023255813954
S2E10,7.783783783783784,9.118811881188119
S2E11,7.435294117647059,7.474137931034483
S2E12,9.26896551724138,9.414814814814815
S2E13,8.588888888888889,7.758064516129032
S2E14,7.516483516483516,9.4
S2E15,6.961538461538462,6.9904761904761905
S2E16,8.933333333333334,8.790697674418604
S2E17,5.771929824561403,10.157303370786517
S2E18,8.962025316455696,7.879310344827586
S2E19,7.862068965517241,9.177215189873417
S2E21,9.941747572815533,8.487804878048781
S2E22,7.807407407407408,8.162162162162161
S2E23,8.006172839506172,8.153225806451612
S2E24,8.229007633587786,9.641509433962264
S2E25,5.870748299319728,8.860655737704919
