Episode,MULDER,SCULLY
S2E1,0.5922651933701657,0.6063569682151589
S2E2,0.46645702306079667,0.5678271308523409
S2E3,0.6148282097649186,0.6677524429967426
S2E4,0.4697535474234503,0.6276978417266187
S2E5,0.39783889980353637,0.5321428571428571
S2E6,0.46690203000882613,0.8333333333333334
S2E8,0.5357142857142857,0.8870967741935484
S2E9,0.4952870608397601,0.49232158988256547
S2E10,0.5649509803921569,0.5591647331786543
S2E11,0.5368589743589743,0.538638985005767
S2E12,0.5058639562157936,0.4922067268252666
S2E13,0.5423497267759563,0.5246252676659529
S2E14,0.5775075987841946,0.518174133558749
S2E15,0.5052132701421801,0.577247191011236
S2E16,0.4830287206266319,0.5227920227920227
S2E17,0.4772727272727273,0.4864864864864865
S2E18,0.4568452380952381,0.5074285714285715
S2E19,0.5111317254174397,0.4846098783106657
S2E21,0.49190283400809715,0.5383458646616541
S2E22,0.4534412955465587,0.4826762246117085
S2E23,0.45742092457420924,0.48078920041536866
S2E24,0.5004757373929591,0.5177304964539007
S2E25,0.4858548585485855,0.4600389863547758
